Model,MAE,MAPE (%),RMSE
Persistence,12.5299,8.51,17.1979
SeasonalNaive,39.2428,25.39,63.1034
SARIMA,11.4571,7.63,16.0795
LSTM,12.9161,9.21,17.4801
Transformer,60.789,50.9,64.6273
