Model,MAE,MAPE (%),RMSE
Persistence,78.8715,11.06,119.7306
SeasonalNaive,398.7463,57.28,690.1423
SARIMA,74.9121,10.39,115.4374
LSTM,104.2571,18.99,151.964
Transformer,268.1538,92.8,328.1826
